date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:55	61689/61689	---MCZ	200	added ('OK')	text/html	etag:W/%22635cc2f1-f0f9%22	https://htmldemo.net/edubuzz/edubuzz/index.html	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/index.html	(from )
15:46:55	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Jun%202024%2022:45:30%20GMT	https://htmldemo.net/robots.txt		(from )
15:46:55	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22635cc366-47e%22	https://htmldemo.net/edubuzz/edubuzz/img/favicon.ico	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/img/favicon.ico	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:55	194859/194859	---MCZ	200	added ('OK')	text/css	etag:W/%22635cc30a-2f92b%22	https://htmldemo.net/edubuzz/edubuzz/css/bootstrap.min.css	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/css/bootstrap.min.css	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:56	27470/27470	---MCZ	200	added ('OK')	text/css	etag:W/%22635cc309-6b4e%22	https://htmldemo.net/edubuzz/edubuzz/css/font-awesome.min.css	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/css/font-awesome.min.css	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:56	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%22635cc30f-1149f%22	https://htmldemo.net/edubuzz/edubuzz/css/material-design-iconic-font.min.css	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/css/material-design-iconic-font.min.css	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:56	107316/107316	---MCZ	200	added ('OK')	text/css	etag:W/%22635cc312-1a334%22	https://htmldemo.net/edubuzz/edubuzz/css/plugin.css	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/css/plugin.css	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:56	99138/99138	---MCZ	200	added ('OK')	text/css	etag:W/%22635cc2fd-18342%22	https://htmldemo.net/edubuzz/edubuzz/style.css	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/style.css	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:57	26180/26180	---MCZ	200	added ('OK')	text/css	etag:W/%22635cc313-6644%22	https://htmldemo.net/edubuzz/edubuzz/css/responsive.css	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/css/responsive.css	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:57	19160/19160	---MC-	200	added ('OK')	image/png	date:Sat,%2008%20Jun%202024%2022:45:31%20GMT	https://htmldemo.net/edubuzz/edubuzz/img/logo/logo.png	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/img/logo/logo.png	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:57	60724/60724	---MCZ	200	added ('OK')	text/html	etag:W/%22635cc2ed-ed34%22	https://htmldemo.net/edubuzz/edubuzz/index-2.html	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/index-2.html	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:57	41310/41310	---MCZ	200	added ('OK')	text/html	etag:W/%22635cc2c8-a15e%22	https://htmldemo.net/edubuzz/edubuzz/about.html	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/about.html	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:57	30885/30885	---MCZ	200	added ('OK')	text/html	etag:W/%22635cc2ed-78a5%22	https://htmldemo.net/edubuzz/edubuzz/gallery.html	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/gallery.html	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:58	32082/32082	---MCZ	200	added ('OK')	text/html	etag:W/%22635cc2ea-7d52%22	https://htmldemo.net/edubuzz/edubuzz/gallery-2.html	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/gallery-2.html	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
15:46:58	33572/33572	---MCZ	200	added ('OK')	text/html	etag:W/%22635cc2e9-8324%22	https://htmldemo.net/edubuzz/edubuzz/gallery-four-column.html	C:/Users/12363/Downloads/College%20website%20template/htmldemo.net/edubuzz/edubuzz/gallery-four-column.html	(from https://htmldemo.net/edubuzz/edubuzz/index.html)
